id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
ML-C16010101,Koutiala,Koutiala,koutiala-16010101,ML-C16010101,13.026,-5.523
ML-C16010102,Logouana,Logouana,logouana-16010102,ML-C16010102,13.026,-5.523
ML-C16010105,N'Golonianasso,N'Golonianasso,ngolonianasso-16010105,ML-C16010105,13.026,-5.523
ML-C16010106,N'Goutjina,N'Goutjina,ngoutjina-16010106,ML-C16010106,13.026,-5.523
ML-C16010103,Nafanga,Nafanga,nafanga-16010103,ML-C16010103,13.026,-5.523
ML-C16010104,Nampé,Nampé,namp-16010104,ML-C16010104,13.026,-5.523
ML-C16010107,Sincina,Sincina,sincina-16010107,ML-C16010107,13.026,-5.523
ML-C16010108,Songo-Doubacoré,Songo-Doubacoré,songo-doubacor-16010108,ML-C16010108,13.026,-5.523
ML-C16010109,Songoua,Songoua,songoua-16010109,ML-C16010109,13.026,-5.523
ML-C16010110,Yognogo,Yognogo,yognogo-16010110,ML-C16010110,13.026,-5.523
